_id,NAME,CATEGORY
1,BMO Field,Sports / Entertainment Venue
2,Aga Khan Museum,Museum
3,Scotiabank Arena (formerly Air Canada Centre),Sports / Entertainment Venue
4,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts
5,Alexander Muir Memorial Gardens,Nature / Park
6,Gallery Indigena,Gallery
7,Allan Gardens,Nature/ Park
8,Alumnae Theatre,Performing Arts
9,Art Gallery of Ontario,Gallery
10,Ashbridges Bay Park,Nature / Park
11,Bluffer's Park and Beach (Scarborough Bluffs),Nature / Park
12,Artscape Wychwood Barns,Landmark
13,BAPS Shri Swaminarayan Mandir,Landmark
14,Beanfield Centre,Convention & Trade Centres
15,Berkeley Street Theatre,Performing Arts
16,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts
17,Billy Bishop Toronto City Airport,Transportation
18,Hudson's Bay,Landmark
19,Black Creek Pioneer Village,Museum
20,Buddies in Bad Times Theatre,Performing Arts
21,Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue
22,Campbell House,Museum
23,Canada's Walk of Fame,Landmark
24,Chinese Cultural Centre of Greater Toronto,Attraction
25,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum
26,Canadian Sculpture Centre,Gallery
27,Casa Loma,Attraction
28,CBC Museum,Museum
29,Cedar Ridge Creative Centre,Gallery
30,CF Fairview Mall,Landmark
31,Centennial Park,Nature / Park
32,Centennial Park Conservatory,Nature/ Park
33,Centre Island Beach,Nature / Park
34,Centreville Amusement Park,Attraction
35,Cherry Beach/ Clarke Beach Park,Nature/ Park
36,Cloud Gardens Conservatory,Garden / Conservatory
37,CN Tower,Attraction
38,Colborne Lodge,Museum
39,Dancemakers and the Centre for Creation,Performing Arts
40,Design Exchange,Museum
41,Downsview Park,Nature / Park
42,Ed Mirvish Theatre,Performing Arts
43,Elgin and Winter Garden Theatre Centre,Performing Arts
44,Enercare Centre,Convention & Trade Centres
45,Evergreen Brick Works,Attraction
46,Exhibition Place,Convention & Trade Centres
